tk,sk
0,1
0.026912642,0.997838148
0.046554755,0.993677028
0.056385973,0.987455671
0.06621211,0.983304712
0.090767292,0.977068112
0.105491256,0.97705287
0.12513845,0.970821351
0.139872575,0.966665312
0.149703793,0.960443954
0.174258975,0.954207355
0.198809076,0.950041154
0.213553363,0.941744317
0.228287488,0.937588278
0.243026694,0.93136184
0.252852831,0.927210881
0.267581876,0.92512524
0.282316001,0.920969201
0.297055207,0.914742762
0.316702401,0.908511244
0.326528538,0.904360285
0.346170652,0.900199165
0.355991708,0.898118605
0.370725833,0.893962565
0.380551971,0.889811606
0.395286096,0.885655567
0.41493329,0.879424048
0.429667415,0.875268009
0.434580484,0.873192529
0.444406621,0.869041571
0.459140746,0.864885531
0.473869791,0.86279989
0.488603916,0.858643851
0.503338041,0.854487811
0.518072167,0.850331772
0.542622268,0.846165571
0.552448405,0.842014612
0.562269462,0.839934052
0.586824644,0.833697453
0.5966457,0.831616892
0.606466757,0.829536332
0.621195801,0.827450691
0.635929927,0.823294652
0.65557204,0.819133532
0.670311246,0.812907094
0.68995844,0.806675575
0.699784577,0.802524616
0.714518702,0.798368577
0.71942669,0.798363496
0.724334678,0.798358415
0.739073884,0.792131977
0.758715997,0.787970857
0.783271179,0.781734257
0.817642337,0.775487496
0.842192438,0.771321295
0.871655608,0.765079615
0.901123858,0.756767536
0.915852903,0.754681895
0.935495016,0.750520775
0.960040036,0.748424973
0.989503206,0.742183293
1.023874364,0.735936531
1.058250602,0.727619372
1.068066578,0.72760921
1.097529748,0.72136753
1.126987837,0.717196248
1.141716881,0.715110608
1.161353914,0.713019886
1.180996027,0.708858766
1.205541047,0.706762963
1.230086068,0.704667161
1.254631088,0.702571359
1.264452145,0.700490799
1.293915314,0.694249118
1.328276311,0.692143155
1.352826412,0.687976954
1.377381594,0.681740354
1.392110638,0.679654713
1.416655658,0.677558911
1.431384703,0.67547327
1.455929723,0.673377468
1.475561675,0.673357145
1.500106695,0.671261343
1.514840821,0.667105303
1.529569865,0.665019662
1.54429891,0.662934022
1.573751918,0.660833139
1.588475882,0.660817896
1.603204926,0.658732256
1.627755027,0.654566055
1.642478991,0.654550812
1.657213116,0.650394773
1.662121104,0.650389692
1.686671205,0.646223491
1.711216226,0.644127689
1.72594019,0.644112447
1.740664153,0.644097205
1.765214255,0.639931004
1.784851287,0.637840282
1.819217364,0.63366392
1.843762384,0.631568117
1.848670372,0.631563037
1.868312485,0.627401916
1.892862586,0.623235716
1.922315595,0.621134832
1.941952627,0.619044111
1.946860615,0.61903903
1.966502728,0.61487791
2.000868805,0.610701548
2.025413826,0.608605745
2.059779903,0.604429383
2.079416935,0.602338661
2.103967036,0.59817246
2.138328032,0.596066497
2.172694109,0.591890134
2.202147118,0.589789251
2.231595045,0.589758767
2.270879272,0.581436526
2.310153337,0.577255083
2.349422321,0.575144039
2.383783317,0.573038075
2.398507281,0.573022833
2.42796537,0.568851551
2.442689334,0.568836309
2.462326366,0.566745587
2.486876467,0.562579386
2.506508419,0.562559064
2.545782484,0.55837762
2.580148561,0.554201258
2.60961173,0.547959578
2.65869161,0.54790877
2.663604678,0.545833291
2.683246792,0.541672171
2.7126998,0.539571288
2.727428844,0.537485647
2.771605816,0.535369522
2.810874801,0.533258477
2.840348132,0.522876
2.874704047,0.522840435
2.923799169,0.516578431
2.963068153,0.514467387
2.97289429,0.510316428
3.012163274,0.508205384
3.061268557,0.497802583
3.100542622,0.49362114
3.139811606,0.491510095
3.174177683,0.487333733
3.203630692,0.48523285
3.237996769,0.481056488
3.272362846,0.476880125
3.306723842,0.474774161
3.331268862,0.472678359
3.355813883,0.470582557
3.380353822,0.470557153
3.419617726,0.470516507
3.468702686,0.468395301
3.512874577,0.468349575
3.527598541,0.468334333
3.561959537,0.466228369
3.581591489,0.466208046
3.586529961,0.453780573
3.615982969,0.45167969
3.660154861,0.451633964
3.738677587,0.451633964
3.758304458,0.451633964
3.782844397,0.451633964
3.807384337,0.451633964
3.841740253,0.451633964
3.846648241,0.451633964
3.861372204,0.451633964
3.876096168,0.451633964
3.89572812,0.451633964
3.910452084,0.451633964
3.934997104,0.451633964
3.964445032,0.451633964
3.974261007,0.451633964
3.993892959,0.451633964
4.013524911,0.451633964
4.042972838,0.451633964
4.077328754,0.451633964
4.101868694,0.451633964
4.116587577,0.451633964
