haq,pain
0,8.867924528
0.128035569,15.66037736
0.250629119,20
0.376760404,23.96226415
0.502612395,25.8490566
0.625205945,30.18867925
0.747621761,33.20754717
0.880600005,34.71698113
0.999884332,41.13207547
1.132761014,41.88679245
1.262099959,43.01886792
1.380800307,45.09433962
1.506830031,48.30188679
1.632453507,48.49056604
1.75840706,51.13207547
1.880568972,52.26415094
2.013724948,55.09433962
2.135683737,54.71698113
2.26866198,56.22641509
2.387590841,60
2.509219554,57.16981132
2.627869121,58.86792453
2.761253611,63.39622642
2.883339352,63.96226415
3,62.0754717
