,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,Intercept1,Intercept2,Intercept3,Intercept4,Male,Variance 1,Variance 2,Variance 3,Variance 4,Variance,Intercept 1,HAQ,Pain/100,Pain/1002,Intercept 2,HAQ,Pain/100,Pain/1002,Intercept 3,HAQ,Pain/100,Pain/1002
Intercept 1,3.40139E-05,-4.90733E-06,-5.27745E-05,-6.9611E-06,-6.59328E-07,9.03957E-05,-3.49713E-05,-0.00013968,4.47079E-06,2.81629E-06,3.46436E-06,6.90615E-07,-1.16614E-05,-4.05486E-06,-1.10076E-06,0.001950932,-0.000609452,0.00097441,0.000147495,-2.60489E-05,1.00036E-05,7.98679E-05,3.43142E-06,-0.00070298,-2.74746E-06,-2.24099E-07,5.63617E-06,-1.00876E-07,-0.000105828,5.64123E-07,0.004051773,0.009038987,-0.027730649,0.0295248,-8.79663E-05,0.008299688,-0.005422106,0.009381953,0.001538153,0.008889482,-0.015814785,0.01786638
HAQ,0.000843411,-0.000158294,-0.000678275,-0.000104169,-9.56619E-06,0.001036606,-0.000330099,-0.001291398,1.72761E-05,3.24435E-05,0.000252049,-6.39884E-05,-0.000262065,-6.98799E-05,-1.93515E-05,0.035304758,-0.01059015,0.028476628,0.002379965,-0.000698626,4.19055E-05,0.00030685,3.65265E-05,-0.014067295,-6.54676E-05,1.34621E-05,2.59775E-05,2.30426E-07,-0.001844907,7.1004E-06,0.009038987,0.195733232,-0.034159034,0.193438036,-0.079597861,0.182991532,0.416796066,-0.216302725,-0.047365989,0.190995696,0.240762737,-0.07709793
Pain/100,-0.000152037,2.08931E-05,0.000200248,2.62963E-05,2.38855E-06,-0.001135411,0.000463886,0.001511551,-9.1213E-05,-2.33114E-05,2.15733E-05,-2.31942E-05,1.55941E-05,1.71443E-05,6.37949E-06,-0.00739069,0.002201041,0.002082986,-0.00058403,3.43753E-05,7.57375E-05,-0.000953647,1.26861E-05,0.002568603,4.24957E-06,1.15669E-05,-8.83808E-05,3.92747E-07,0.000425388,-4.27143E-06,-0.027730649,-0.034159034,0.347717003,-0.285100062,-0.021370774,-0.029667903,0.284215598,-0.22694752,-0.02627363,-0.034128336,0.335771934,-0.272745566
Pain/1002,0.000793125,-0.000136401,-0.000607002,-0.000111413,-1.01006E-05,0.001494167,-0.00053267,-0.001862396,4.16837E-05,4.06127E-05,0.00025746,-5.46045E-05,-0.000135757,-7.71598E-05,-2.04508E-05,0.036435291,-0.011003102,0.028328908,0.002594416,-0.000653301,-1.58055E-05,0.000762979,-8.8876E-05,-0.014619338,-6.43879E-05,5.1742E-06,7.44841E-05,-1.59953E-06,-0.001957081,9.51772E-06,0.0295248,0.193438036,-0.285100062,0.449888007,-0.053300945,0.178519415,0.167993627,0.03261202,-0.033724849,0.189432262,0.016262834,0.154841362
Intercept 2,-0.000328417,5.8998E-05,0.000259208,4.09483E-05,3.64848E-06,-0.000570903,0.000120158,0.00064853,-2.93817E-05,-1.52626E-06,-0.000101844,3.36079E-05,0.000772342,3.05988E-05,7.65899E-06,-0.014045915,0.004203727,-0.012261402,-0.000939432,0.000293963,-2.65315E-05,0.000175448,-0.000556891,0.005647745,3.03885E-05,-7.77712E-06,-2.28963E-05,-1.69026E-05,0.000730944,-2.10054E-06,-8.79663E-05,-0.079597861,-0.021370774,-0.053300945,0.067426877,-0.086658905,-0.237384507,0.146366064,-0.001045678,-0.075506465,-0.080033825,0.021258274
HAQ,0.00079358,-0.000148592,-0.000640237,-9.67549E-05,-8.51827E-06,0.001781109,-0.000567098,-0.001808548,8.02007E-05,3.51919E-05,0.000225902,-5.85259E-05,-0.000630108,-6.0155E-05,-1.94504E-05,0.032947393,-0.009872969,0.026596298,0.00222156,-0.000655373,4.00636E-05,0.000218468,0.000334632,-0.013121145,-6.20967E-05,1.28077E-05,7.75237E-05,1.27983E-05,-0.001722732,6.64491E-06,0.008299688,0.182991532,-0.029667903,0.178519415,-0.086658905,0.17927334,0.381976731,-0.202850824,-0.031973689,0.177937732,0.201226083,-0.057268926
Pain/100,0.001709113,-0.000321155,-0.001325749,-0.000220782,-2.20326E-05,-0.003487963,0.001414234,0.001404342,-0.000377045,-1.52626E-05,0.000701813,-0.000216297,-0.000227678,-0.000174839,-2.56403E-05,0.074439698,-0.02246928,0.069525387,0.00496658,-0.001574467,0.000213842,-0.000299462,-0.000154689,-0.030038647,-0.000150227,4.54833E-05,-0.000311309,-2.51444E-05,-0.003850472,1.08629E-05,-0.005422106,0.416796066,0.284215598,0.167993627,-0.237384507,0.381976731,1.493401544,-0.908547988,-0.137858768,0.402347024,0.904914065,-0.439918873
Pain/1002,-0.000933187,0.000183584,0.000774781,0.000110273,1.06083E-05,0.001335489,-0.000591808,0.000172035,0.000144376,1.12359E-05,-0.000404172,0.000139595,0.000495123,6.33838E-05,1.18295E-05,-0.037911961,0.011400162,-0.033218846,-0.002450712,0.0008124,-0.000124664,-0.000173434,-0.000201014,0.015040143,7.51097E-05,-2.46859E-05,0.000100754,3.31675E-07,0.001930294,-5.16943E-06,0.009381953,-0.216302725,-0.22694752,0.03261202,0.146366064,-0.202850824,-0.908547988,0.651426439,0.058562769,-0.20732459,-0.490421879,0.298651348
Intercept 3,-0.000187312,3.93079E-05,0.000125146,2.6367E-05,3.66923E-06,0.002026063,-0.000674454,-0.001984356,0.000181479,-5.96375E-06,-0.000337618,9.32428E-05,-0.001298323,9.29648E-06,1.18626E-06,-0.008306144,0.002488788,-0.008375457,-0.000561089,0.000178768,-2.22279E-05,0.000333362,0.001260753,0.003437613,2.37142E-05,-4.99486E-06,0.000133365,3.1019E-05,0.000434882,-1.13448E-06,0.001538153,-0.047365989,-0.02627363,-0.033724849,-0.001045678,-0.031973689,-0.137858768,0.058562769,0.089272324,-0.050041354,-0.285395891,0.170635489
HAQ,0.000829588,-0.000157502,-0.000662791,-0.000101631,-9.2691E-06,0.001294296,-0.000432156,-0.001427267,2.18501E-05,3.34078E-05,0.00020665,-4.95688E-05,-0.000187073,-6.40607E-05,-1.88838E-05,0.034469338,-0.010341101,0.027775731,0.002323414,-0.000681445,3.93757E-05,0.000320604,2.33908E-06,-0.013734246,-6.17195E-05,1.29429E-05,3.95355E-05,-6.42805E-07,-0.001801223,7.16954E-06,0.008889482,0.190995696,-0.034128336,0.189432262,-0.075506465,0.177937732,0.402347024,-0.20732459,-0.050041354,0.188715007,0.237074819,-0.077557991
Pain/100,0.000962685,-0.000188242,-0.000673044,-0.000125668,-1.41842E-05,-0.0044575,0.001570962,0.004888787,-0.000435916,3.10218E-05,0.001258622,-0.000365858,0.00274756,-6.42752E-05,-1.54438E-05,0.042484276,-0.012831357,0.04669751,0.002843158,-0.00096822,0.000187614,-0.001533535,-0.003017162,-0.017546758,-0.000121276,3.3786E-05,-0.000304143,-6.24303E-05,-0.002199293,4.70238E-06,-0.015814785,0.240762737,0.335771934,0.016262834,-0.080033825,0.201226083,0.904914065,-0.490421879,-0.285395891,0.237074819,1.290320176,-0.791456781
Pain/1002,-0.000318551,7.07995E-05,0.00024908,3.59376E-05,5.06868E-06,0.002796168,-0.000957871,-0.003440592,0.000244643,-1.31E-05,-0.000675456,0.000199465,-0.001852642,1.33126E-05,4.21871E-06,-0.012669989,0.003796248,-0.015391496,-0.000773567,0.000334527,-0.000113345,0.00111662,0.001921944,0.005183892,5.18336E-05,-1.63612E-05,0.000176136,3.90297E-05,0.000624896,2.90887E-07,0.01786638,-0.07709793,-0.272745566,0.154841362,0.021258274,-0.057268926,-0.439918873,0.298651348,0.170635489,-0.077557991,-0.791456781,0.581316469
