,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,HAQ,HAQ2,Pain/100,Age/10m,Age/10m2,Intercept1,Intercept2,Intercept3,Intercept4,Male,Variance 1,Variance 2,Variance 3,Variance 4,Variance,Intercept 1,HAQ,Pain/100,Pain/1002,Intercept 2,HAQ,Pain/100,Pain/1002,Intercept 3,HAQ,Pain/100,Pain/1002
HAQ,2.60652E-06,-8.05368E-07,-4.19051E-07,-1.71728E-07,-2.29822E-09,-3.35655E-05,1.19408E-05,1.2813E-05,-3.467E-07,4.0572E-07,5.79965E-05,-1.96211E-05,-3.74354E-06,-3.03423E-07,-3.81754E-08,4.52547E-05,-1.35212E-05,4.24091E-05,3.08961E-06,-1.00649E-06,-7.62079E-07,5.53156E-06,-3.19406E-05,-1.8539E-05,6.79866E-08,1.57871E-08,2.83181E-08,4.20023E-08,-2.36015E-06,-1.27382E-08,3.46436E-06,0.000252049,2.15733E-05,0.00025746,-0.000101844,0.000225902,0.000701813,-0.000404172,-0.000337618,0.00020665,0.001258622,-0.000675456
HAQ2,-8.62305E-07,3.34953E-07,4.59876E-08,3.39858E-08,-8.21517E-10,1.07394E-05,-3.96374E-06,-3.31262E-06,-7.06389E-09,-1.85241E-07,-1.96211E-05,7.14155E-06,2.80502E-07,1.07137E-07,4.72078E-08,-1.12841E-05,3.37677E-06,-1.10476E-05,-7.75147E-07,2.65301E-07,2.04568E-07,-1.81302E-06,1.01524E-05,4.57675E-06,3.71495E-08,-5.3768E-09,-8.06758E-08,-2.88563E-08,5.85466E-07,8.25497E-09,6.90615E-07,-6.39884E-05,-2.31942E-05,-5.46045E-05,3.36079E-05,-5.85259E-05,-0.000216297,0.000139595,9.32428E-05,-4.95688E-05,-0.000365858,0.000199465
Pain/100,-1.61777E-06,2.19565E-07,1.38034E-06,5.30361E-09,-3.4589E-08,-5.5593E-05,1.90456E-05,4.00132E-05,-5.46157E-06,-3.50303E-07,-3.74354E-06,2.80502E-07,7.97511E-05,3.98536E-07,5.51997E-08,-4.62521E-05,1.36518E-05,-3.21548E-05,-2.89245E-06,1.0609E-06,1.40096E-07,2.47002E-07,-5.55677E-05,1.79063E-05,-4.4237E-10,-1.89891E-08,-5.09322E-06,-1.08968E-06,2.35955E-06,-1.95305E-08,-1.16614E-05,-0.000262065,1.55941E-05,-0.000135757,0.000772342,-0.000630108,-0.000227678,0.000495123,-0.001298323,-0.000187073,0.00274756,-0.001852642
Age/10m,-2.43709E-07,3.98108E-08,2.48496E-07,1.30764E-07,2.73275E-08,4.22643E-06,-1.4817E-06,-3.58242E-06,-6.7792E-07,-2.53026E-07,-3.03423E-07,1.07137E-07,3.98536E-07,1.35079E-06,2.60004E-07,-1.25472E-05,3.74423E-06,-1.0216E-05,-7.69313E-07,2.63097E-07,-5.13354E-08,9.51746E-07,-5.56357E-07,4.94236E-06,-3.41828E-08,-6.59342E-09,3.49287E-07,4.30111E-08,6.59415E-07,3.86002E-09,-4.05486E-06,-6.98799E-05,1.71443E-05,-7.71598E-05,3.05988E-05,-6.0155E-05,-0.000174839,6.33838E-05,9.29648E-06,-6.40607E-05,-6.42752E-05,1.33126E-05
Age/10m2,-8.75785E-08,1.38539E-08,5.61307E-08,2.77843E-08,2.25593E-08,-1.60473E-07,8.46149E-08,8.8858E-08,-3.01945E-07,-2.72187E-07,-3.81754E-08,4.72078E-08,5.51997E-08,2.60004E-07,3.77368E-07,-3.52104E-06,1.0482E-06,-2.47903E-06,-2.14246E-07,9.04965E-08,-3.74343E-08,2.10994E-07,-6.71148E-07,1.33697E-06,2.11253E-08,-8.3639E-10,-2.35689E-08,-4.13424E-09,1.81117E-07,-9.55264E-10,-1.10076E-06,-1.93515E-05,6.37949E-06,-2.04508E-05,7.65899E-06,-1.94504E-05,-2.56403E-05,1.18295E-05,1.18626E-06,-1.88838E-05,-1.54438E-05,4.21871E-06
HAQ,0.000153802,-2.91431E-05,-0.000121755,-1.91904E-05,-1.74156E-06,0.000191689,-6.23094E-05,-0.000242768,3.10095E-06,6.02146E-06,4.52547E-05,-1.12841E-05,-4.62521E-05,-1.25472E-05,-3.52104E-06,0.006580311,-0.001990015,0.005172763,0.000436531,-0.000127854,6.40077E-06,6.63188E-05,5.77252E-06,-0.002628034,-1.17157E-05,2.31647E-06,5.15157E-06,-2.06839E-08,-0.000340046,1.41264E-06,0.001950932,0.035304758,-0.00739069,0.036435291,-0.014045915,0.032947393,0.074439698,-0.037911961,-0.008306144,0.034469338,0.042484276,-0.012669989
HAQ2,-4.6125E-05,8.80612E-06,3.65009E-05,5.77149E-06,5.3073E-07,-5.64698E-05,1.84789E-05,7.17146E-05,-8.29343E-07,-1.80058E-06,-1.35212E-05,3.37677E-06,1.36518E-05,3.74423E-06,1.0482E-06,-0.001990015,0.000606482,-0.001566163,-0.000132109,3.83355E-05,-2.1666E-06,-2.01692E-05,-1.6173E-06,0.000791438,3.55475E-06,-6.97511E-07,-1.5035E-06,1.79498E-08,0.000102353,-4.25113E-07,-0.000609452,-0.01059015,0.002201041,-0.011003102,0.004203727,-0.009872969,-0.02246928,0.011400162,0.002488788,-0.010341101,-0.012831357,0.003796248
Pain/100,0.000119208,-2.20516E-05,-8.72416E-05,-1.52202E-05,-1.46326E-06,0.000110978,-3.22282E-05,-0.000132035,-1.74153E-06,4.06975E-06,4.24091E-05,-1.10476E-05,-3.21548E-05,-1.0216E-05,-2.47903E-06,0.005172763,-0.001566163,0.004801757,0.000359448,-0.00010562,8.33244E-06,1.25587E-05,-3.00923E-06,-0.002102772,-9.84792E-06,2.39206E-06,7.03796E-07,-1.01551E-07,-0.000271965,1.00496E-06,0.00097441,0.028476628,0.002082986,0.028328908,-0.012261402,0.026596298,0.069525387,-0.033218846,-0.008375457,0.027775731,0.04669751,-0.015391496
Age/10m,1.00519E-05,-1.87137E-06,-8.08673E-06,-1.15802E-06,-1.13599E-07,1.2572E-05,-4.04032E-06,-1.59946E-05,3.31041E-07,4.27625E-07,3.08961E-06,-7.75147E-07,-2.89245E-06,-7.69313E-07,-2.14246E-07,0.000436531,-0.000132109,0.000359448,3.36099E-05,-8.35452E-06,5.90346E-07,4.21741E-06,1.49869E-07,-0.000174699,-8.53766E-07,1.54774E-07,2.89486E-07,-1.22165E-09,-2.30482E-05,8.98122E-08,0.000147495,0.002379965,-0.00058403,0.002594416,-0.000939432,0.00222156,0.00496658,-0.002450712,-0.000561089,0.002323414,0.002843158,-0.000773567
Age/10m2,-3.04658E-06,5.7984E-07,2.3352E-06,3.77955E-07,8.17862E-08,-3.65068E-06,1.13326E-06,4.49449E-06,-7.51425E-09,-4.72911E-08,-1.00649E-06,2.65301E-07,1.0609E-06,2.63097E-07,9.04965E-08,-0.000127854,3.83355E-05,-0.00010562,-8.35452E-06,4.21378E-06,-2.07422E-07,-1.00106E-06,-2.01434E-07,4.9126E-05,2.32458E-07,-5.04762E-08,-9.2341E-08,-2.67944E-09,6.61953E-06,-2.74902E-08,-2.60489E-05,-0.000698626,3.43753E-05,-0.000653301,0.000293963,-0.000655373,-0.001574467,0.0008124,0.000178768,-0.000681445,-0.00096822,0.000334527
