tk,sk
0,1
0.023800599,0.995975869
0.047431464,0.987995974
0.075796045,0.98001372
0.094683763,0.970044155
0.132515777,0.962057187
0.165614075,0.954072576
0.189244939,0.94609268
0.222324377,0.934124015
0.241221525,0.926146476
0.264871249,0.922150635
0.29323583,0.914168382
0.321600411,0.906186128
0.349974422,0.900195902
0.36887157,0.892218364
0.392511864,0.886230495
0.416142728,0.878250599
0.453974743,0.870263631
0.47288132,0.86427812
0.510703905,0.854299125
0.534344199,0.848311256
0.557993923,0.844315415
0.59109222,0.836330804
0.628914805,0.826351809
0.657288816,0.820361582
0.690387113,0.812376972
0.723494841,0.806384388
0.761326855,0.79839742
0.789700866,0.792407194
0.81334116,0.786419325
0.846448887,0.780426742
0.889014618,0.772437416
0.936314066,0.764445733
0.97414608,0.756458765
1.021454958,0.750459109
1.073488122,0.742465069
1.111320136,0.734478101
1.149161581,0.72848316
1.186993595,0.720496192
1.229568756,0.714498893
1.26740077,0.706511925
1.300517927,0.702511369
1.333616225,0.694526758
1.366733382,0.690526202
1.404574826,0.684531261
1.44241627,0.67853632
1.48500086,0.674531049
1.522842305,0.668536108
1.560683749,0.662541167
1.598525193,0.656546226
1.6458435,0.652538597
1.68841866,0.646541299
1.731003251,0.642536027
1.783055275,0.638526041
1.811438715,0.634527842
1.839822156,0.630529643
1.868215026,0.628523472
1.901332183,0.624522915
1.93444934,0.620522359
1.962832781,0.61652416
1.995959367,0.614515631
2.024352238,0.612509459
2.062203111,0.608506545
2.100063415,0.606495659
2.123713139,0.602499817
2.166297729,0.598494546
2.199414886,0.59449399
2.23727519,0.592483103
2.275116634,0.586488162
2.317691794,0.580490864
2.365010102,0.576483235
2.407604122,0.574469991
2.445454996,0.570467077
2.497507019,0.566457091
2.54008218,0.560459793
2.592124774,0.55445778
2.634699935,0.548460481
2.667826522,0.546451952
2.705677395,0.542449038
2.748261986,0.538443767
2.78610343,0.532448826
2.819220587,0.52844827
2.852337744,0.524447713
2.890188618,0.5204448
2.928048921,0.518433913
2.994311525,0.516408882
3.041620402,0.510409226
3.093672426,0.50639924
3.14572445,0.502389254
3.18830904,0.498383983
3.240370493,0.496366024
3.301889951,0.492351323
3.353932545,0.48634931
3.420176289,0.480340224
3.458036592,0.478329337
3.529023482,0.474309922
3.557406923,0.470311723
3.614202093,0.468291406
3.67572155,0.464276706
3.73251672,0.462256389
3.794036177,0.458241688
3.850812488,0.452237318
3.898130795,0.448229689
3.950192248,0.44621173
3.992776839,0.442206459
4.030627713,0.438203545
4.059020583,0.436197373
4.096880886,0.434186487
