tk,sk
0,1
0.022191401,0.993023256
0.055478502,0.979069767
0.072122053,0.969767442
0.088765603,0.958139535
0.110957004,0.948837209
0.127600555,0.934883721
0.144244105,0.923255814
0.188626907,0.897674419
0.2,0.89
0.221914008,0.876744186
0.238557559,0.860465116
0.26074896,0.839534884
0.27739251,0.830232558
0.310679612,0.811627907
0.349514563,0.795348837
0.377253814,0.776744186
0.404993065,0.762790698
0.427184466,0.751162791
0.438280166,0.741860465
0.466019417,0.73255814
0.482662968,0.725581395
0.515950069,0.713953488
0.565880721,0.697674419
0.58,0.69
0.593619972,0.688372093
0.615811373,0.679069767
0.654646325,0.669767442
0.671289875,0.658139535
0.693481276,0.651162791
0.721220527,0.644186047
0.760055479,0.637209302
0.78779473,0.625581395
0.80443828,0.623255814
0.843273232,0.613953488
0.876560333,0.6
0.871012483,0.597
0.915395284,0.593023256
0.932038835,0.586046512
0.976421637,0.581395349
1.004160888,0.574418605
1.05963939,0.562790698
1.07628294,0.560465116
1.115117892,0.553488372
1.153952843,0.541860465
1.192787795,0.537209302
1.237170596,0.534883721
1.287101248,0.525581395
1.32038835,0.520930233
1.353675451,0.51627907
1.381414702,0.511627907
1.414701803,0.509302326
1.453536755,0.506976744
1.481276006,0.5
1.509015257,0.495348837
1.542302358,0.490697674
1.570041609,0.486046512
1.59778086,0.48372093
1.642163662,0.481395349
1.658807212,0.479069767
1.680998613,0.476744186
1.714285714,0.472093023
1.747572816,0.469767442
1.769764216,0.46744186
1.797503467,0.465
1.814147018,0.462790698
1.836338419,0.460465116
1.87517337,0.458139535
1.902912621,0.453488372
1.941747573,0.451162791
1.963938974,0.448837209
1.997226075,0.444186047
2.019417476,0.441
2.058252427,0.439534884
2.085991678,0.437209302
2.147018031,0.430232558
2.191400832,0.427906977
2.252427184,0.423255814
2.302357836,0.418604651
2.352288488,0.41627907
2.385575589,0.413953488
2.40221914,0.412
2.429958391,0.411627907
2.457697642,0.409302326
2.513176144,0.402325581
2.563106796,0.4015
2.613037448,0.401
2.590846047,0.4
2.635228849,0.397674419
2.6740638,0.395348837
2.718446602,0.390697674
2.746185853,0.388372093
2.807212205,0.38372093
2.873786408,0.381395349
2.92926491,0.376744186
2.968099861,0.372093023
3.012482663,0.369767442
3.051317614,0.365116279
3.112343967,0.362790698
3.140083218,0.358139535
3.173370319,0.353488372
3.19001387,0.351162791
3.239944521,0.348837209
3.278779473,0.346511628
3.306518724,0.344186047
3.356449376,0.341860465
3.395284327,0.334883721
3.417475728,0.333
3.445214979,0.325581395
3.484049931,0.323255814
3.539528433,0.320930233
3.561719834,0.318604651
3.583911234,0.31627907
3.617198336,0.311627907
3.650485437,0.306976744
3.683772538,0.3
3.711511789,0.297674419
3.766990291,0.288372093
3.811373093,0.286046512
3.855755895,0.274418605
3.861303745,0.262790698
3.866851595,0.251162791
3.977808599,0.246511628
4.00554785,0.241860465
4.0110957,0.23255814
4.0110957,0.227906977
4.022191401,0.209302326
4.049930652,0.202325581
4.077669903,0.2
