gender,age_bot,age_top,events,incidence_per_100000
male,18,34,7,3.6
male,35,44,26,19.1
male,45,54,30,26.9
male,55,64,36,51.7
male,65,74,31,72.4
male,75,84,13,52.3
male,85,85,2,26.1
female,18,34,27,13.8
female,35,44,73,55
female,45,54,72,62.4
female,55,64,55,74.2
female,65,74,51,104.4
female,75,84,30,81.1
female,85,85,13,63.7
