0.00000	1.27000	1.26900	0.64400	0.63300	1.93300	1.93300	0.95400	0.95900	
1.00000	1.03600	1.07100	0.24200	0.25900	1.88900	1.89200	0.65400	0.68000	
2.00000	1.05300	1.01200	0.16800	0.14600	1.96600	1.94700	0.53200	0.53200	
3.00000	1.10800	1.10600	0.11600	0.11100	2.01700	2.06500	0.51100	0.50300	
4.00000	1.24300	1.23700	0.11600	0.10300	2.16900	2.15000	0.54800	0.54600	
5.00000	1.34200	1.35100	0.10200	0.10600	2.20300	2.21100	0.56300	0.60300	
6.00000	1.41100	1.44300	0.10300	0.11900	2.30000	2.25400	0.66700	0.66000	
7.00000	1.52000	1.51700	0.12400	0.11900	2.28600	2.28800	0.68300	0.70500	
8.00000	1.56500	1.57800	0.16400	0.13800	2.27600	2.31500	0.72400	0.75100	
9.00000	1.61000	1.62800	0.14600	0.14800	2.35600	2.33600	0.78300	0.78600	
10.00000	1.69700	1.67000	0.14600	0.15900	2.35800	2.35300	0.83700	0.81700	
11.00000	1.75500	1.70500	0.18900	0.17200	2.37500	2.36800	0.87200	0.84500	
12.00000	1.68600	1.73700	0.15500	0.18000	2.39000	2.38100	0.86900	0.86900	
13.00000	1.75100	1.76100	0.19800	0.18900	2.44300	2.39000	0.85800	0.88800	
14.00000	1.84900	1.78200	0.24100	0.19400	2.21900	2.39900	0.90900	0.90400	
15.00000	1.79000	1.80300	0.29400	0.21600	2.25800	2.40700	0.91800	0.92500	
16.00000	1.86400	1.82500	0.32900	0.20500	2.51100	2.41600	0.98400	0.93700	
