tk,sk
0,1
1.49377771,0.988686096
1.860159864,0.961043362
2.782963515,0.928803016
3.706195183,0.898866826
4.259192547,0.87583597
4.997521071,0.850504524
5.737133645,0.832085546
6.290559025,0.811358845
7.215074742,0.788335123
7.95297525,0.760699522
8.877062951,0.735371643
9.987337844,0.712351487
10.91270959,0.693936076
11.83808134,0.675520664
12.76302508,0.654801097
13.87501204,0.640997564
14.80123982,0.627190464
15.91237075,0.608778619
17.02435771,0.594975086
17.95144152,0.585776297
18.50657897,0.574266219
19.61813791,0.55815853
21.10207124,0.546666286
22.02829903,0.532859186
23.14114202,0.523663964
24.62421932,0.507563409
25.92196545,0.493763442
27.21928357,0.47765932
28.51788574,0.468467665
30.37376544,0.45928671
31.11509008,0.450084355
32.41326423,0.438588544
33.34034805,0.429389755
35.01004055,0.417901078
36.30864272,0.408709423
37.97876325,0.399524902
39.09160624,0.39032968
40.20530526,0.385742769
41.8758538,0.378862403
43.73087747,0.365073137
45.40056998,0.35358446
48.18524556,0.344421339
49.11361342,0.342135018
50.22688443,0.335243952
52.08276413,0.326062997
53.56712548,0.316874909
55.23767402,0.309994543
56.53756023,0.307715355
57.8361624,0.2985237
59.13519259,0.2916362
60.99235634,0.289367713
62.4771457,0.28248378
63.77574787,0.273292125
65.26053723,0.266408192
66.74661064,0.26
68.23140001,0.259552794
69.7170454,0.257277173
71.20226278,0.252697396
72.87323934,0.248121186
75.65877095,0.243566376
76.95865717,0.241287188
78.25811537,0.236703845
80.1148511,0.232131201
81.60006848,0.227551424
83.08571388,0.225275803
84.57093126,0.220696026
86.79918534,0.216130517
88.28483074,0.213854895
91.81382707,0.211618509
93.67013479,0.20474171
94.97002101,0.202462522
97.0120879,0.19558929
99.05415479,0.188716057
100.354041,0.186436869
103.8826093,0.181896327
106.2970506,0.17963854
108.3399735,0.177373619
115.7699126,0.175212136
117.6198,0.133773001
119.4769638,0.131504514
121.5091863,0.071635701
