"","AIC (moderate)","BIC (moderate)","AIC (good)","BIC (good)"
"Exponential",38840.7392027354,38847.2631729111,15126.8169399063,15132.5203989542
"Weibull",38478.9684447955,38492.0163851469,15090.1946914474,15101.6016095431
"Gompertz",38099.6438255492,38112.6917659006,15066.2558877228,15077.6628058185
"Gamma",38587.4589439266,38600.506884278,15098.6038484051,15110.0107665008
"Log-logistic",38142.4121737673,38155.4601141186,15062.3814285693,15073.788346665
"Lognormal",37988.8253538592,38001.8732942106,15047.9317843921,15059.3387024878
"Generalized gamma",37869.5937162053,37889.1656267323,15048.2982576427,15065.4086347863
