"","AIC","BIC"
"Exponential",33240.0234281981,33246.7571833294
"Weibull",33182.5621495368,33196.0296597995
"Gompertz",32963.8771117947,32977.3446220575
"Gamma",33222.667217355,33236.1347276177
"Log-logistic",32848.0917663164,32861.5592765791
"Lognormal",32650.0951482618,32663.5626585245
"Generalized gamma",32507.755134276,32527.9563996701
