"","AIC (moderate)","BIC (moderate)","AIC (good)","BIC (good)"
"Exponential",42304.2499683882,42310.7739385638,18098.0203441924,18103.7238032403
"Weibull",41946.7957584348,41959.8436987861,18051.3147171033,18062.7216351991
"Gompertz",41569.4563552714,41582.5042956228,18039.2361033456,18050.6430214413
"Gamma",42098.0036953389,42111.0516356903,18063.5208041074,18074.9277222032
"Log-logistic",41406.9116037966,41419.959544148,18037.68090466,18049.0878227558
"Lognormal",41235.6715786468,41248.7195189982,18004.7978432323,18016.2047613281
"Generalized gamma",41110.1794061943,41129.7513167214,18000.2283017155,18017.3386788591
