"","AIC","BIC"
"Exponential",38840.7392027354,38847.2631729111
"Weibull",38478.9684447955,38492.0163851469
"Gompertz",38099.6438255492,38112.6917659006
"Gamma",38587.4589439266,38600.506884278
"Log-logistic",38142.4121737673,38155.4601141186
"Lognormal",37988.8253538592,38001.8732942106
"Generalized gamma",37869.5937162053,37889.1656267323
