"","AIC","BIC"
"Exponential",42304.2499683882,42310.7739385638
"Weibull",41946.7957584348,41959.8436987861
"Gompertz",41569.4563552714,41582.5042956228
"Gamma",42098.0036953389,42111.0516356903
"Log-logistic",41406.9116037966,41419.959544148
"Lognormal",41235.6715786468,41248.7195189982
"Generalized gamma",41110.1794061943,41129.7513167214
