"time","est","lcl","ucl"
1,0.997362665778743,0.996421558997871,0.998145365522862
2,0.977079087264591,0.974326101576872,0.97983051899706
3,0.944284960864026,0.939838764768785,0.948347559291159
4,0.907758883709932,0.902037477181279,0.913389079869245
5,0.871497658619779,0.864528494086704,0.878322902522609
6,0.837051344254225,0.828930683996728,0.844677197239222
7,0.804925910261785,0.796310527109257,0.813390101641945
8,0.775189016028332,0.765540707727755,0.7844446476545
9,0.747729062896014,0.737706311085012,0.757455825015743
10,0.722368435502282,0.712190124832684,0.732644114839985
11,0.698913576029986,0.688577439324423,0.709360299902369
12,0.677176747524269,0.666477378517808,0.687694936330902
13,0.656984793257243,0.646018633472238,0.667573626660345
14,0.638181870579069,0.627145291424588,0.648893187278088
15,0.620629435401924,0.60968123533183,0.631401945187335
16,0.604205044505406,0.593279369609315,0.615228272922965
17,0.588800729345474,0.577946811776326,0.599886717561541
18,0.574321298804992,0.563372854097175,0.585457296705599
19,0.56068273259119,0.549692726995344,0.571741750211567
20,0.547810730006991,0.536663080185142,0.559022472343938
21,0.535639431369715,0.524381864496486,0.54710503941376
22,0.524110307000941,0.512836648501546,0.535773680033245
23,0.513171199106845,0.501949629183883,0.524773499473054
24,0.502775498663705,0.491495303684246,0.51447298708229
25,0.492881439332749,0.481547816200357,0.504598006797613
26,0.483451491749886,0.47202707891373,0.495108998235646
27,0.474451843395354,0.46293426230555,0.486077120243694
28,0.465851951209188,0.454274154049969,0.477448749109713
29,0.457624155974242,0.445991413979434,0.469188197823048
30,0.449743349153252,0.438063215615876,0.461135821921121
31,0.442186684315602,0.430400968333945,0.453658723207681
32,0.434933326528742,0.422976572757846,0.44647217904351
33,0.427964234137615,0.415811857169263,0.439499069367384
34,0.421261968236601,0.408986860403607,0.432585301476708
35,0.414810525876446,0.402493129436138,0.426078514770531
36,0.408595193665438,0.396083391953229,0.420066272726735
